Id	LibraryName	UserInputPattern	SystemMessage	PatternAtt	Type	Owner
57	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
58	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord special menu for guests who are #RestaurantEntity			ConsumerQuery.ClassMember	User
59	ConsumerQueryState	$ActionWord #RestaurantEntity places			ConsumerQuery.ClassMember	User
60	ConsumerQueryState	$ActionWord #RestaurantEntity restaurants			ConsumerQuery.ClassMember	User
61	ConsumerQueryState	$ActionWord #RestaurantEntity that $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
62	ConsumerQueryState	$ActionWord #RestaurantEntity with $Accompany			ConsumerQuery.ClassMember	User
63	ConsumerQueryState	$ActionWord #RestaurantEntity with a #RestaurantEntity			ConsumerQuery.ClassMember	User
64	ConsumerQueryState	$ActionWord a #Cuisine			ConsumerQuery.ClassMember	User
65	ConsumerQueryState	$ActionWord a #RestaurantEntity			ConsumerQuery.ClassMember	User
66	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
67	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
68	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord options for #RestaurantEntity			ConsumerQuery.ClassMember	User
69	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord options other than #Cuisine			ConsumerQuery.ClassMember	User
70	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord options other than #RestaurantEntity			ConsumerQuery.ClassMember	User
71	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord special menu for #RestaurantEntity guests			ConsumerQuery.ClassMember	User
72	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
73	ConsumerQueryState	$ActionWord a #RestaurantEntity $ActionWord special menu for guests who are #RestaurantEntity			ConsumerQuery.ClassMember	User
74	ConsumerQueryState	$ActionWord a #RestaurantEntity that $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
75	ConsumerQueryState	$ActionWord a place $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
76	ConsumerQueryState	$ActionWord a place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
77	ConsumerQueryState	$ActionWord a place $ActionWord options for #RestaurantEntity			ConsumerQuery.ClassMember	User
78	ConsumerQueryState	$ActionWord a place $ActionWord options other than #Cuisine			ConsumerQuery.ClassMember	User
79	ConsumerQueryState	$ActionWord a place $ActionWord options other than #RestaurantEntity			ConsumerQuery.ClassMember	User
80	ConsumerQueryState	$ActionWord a place $ActionWord special menu for #RestaurantEntity guests			ConsumerQuery.ClassMember	User
81	ConsumerQueryState	$ActionWord a place $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
82	ConsumerQueryState	$ActionWord a place $ActionWord special menu for guests who are #RestaurantEntity			ConsumerQuery.ClassMember	User
83	ConsumerQueryState	$ActionWord a place that $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
84	ConsumerQueryState	$ActionWord a restaurant $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
85	ConsumerQueryState	$ActionWord a restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
86	ConsumerQueryState	$ActionWord a restaurant $ActionWord options for #RestaurantEntity			ConsumerQuery.ClassMember	User
87	ConsumerQueryState	$ActionWord a restaurant $ActionWord options other than #Cuisine			ConsumerQuery.ClassMember	User
88	ConsumerQueryState	$ActionWord a restaurant $ActionWord options other than #RestaurantEntity			ConsumerQuery.ClassMember	User
89	ConsumerQueryState	$ActionWord a restaurant $ActionWord special menu for #RestaurantEntity guests			ConsumerQuery.ClassMember	User
90	ConsumerQueryState	$ActionWord a restaurant $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
91	ConsumerQueryState	$ActionWord a restaurant $ActionWord special menu for guests who are #RestaurantEntity			ConsumerQuery.ClassMember	User
92	ConsumerQueryState	$ActionWord a restaurant that $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
93	ConsumerQueryState	$ActionWord an #Cuisine			ConsumerQuery.ClassMember	User
94	ConsumerQueryState	$ActionWord an #RestaurantEntity			ConsumerQuery.ClassMember	User
95	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
96	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
97	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord options for #RestaurantEntity			ConsumerQuery.ClassMember	User
98	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord options other than #Cuisine			ConsumerQuery.ClassMember	User
99	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord options other than #RestaurantEntity			ConsumerQuery.ClassMember	User
100	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord special menu for #RestaurantEntity guests			ConsumerQuery.ClassMember	User
101	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
102	ConsumerQueryState	$ActionWord an #RestaurantEntity $ActionWord special menu for guests who are #RestaurantEntity			ConsumerQuery.ClassMember	User
103	ConsumerQueryState	$ActionWord an #RestaurantEntity that $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
104	ConsumerQueryState	$ActionWord me #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
105	ConsumerQueryState	$ActionWord me #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
106	ConsumerQueryState	$ActionWord me a #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
107	ConsumerQueryState	$ActionWord me a #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
108	ConsumerQueryState	$ActionWord me a place $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
109	ConsumerQueryState	$ActionWord me a place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
110	ConsumerQueryState	$ActionWord me a restaurant $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
111	ConsumerQueryState	$ActionWord me a restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
112	ConsumerQueryState	$ActionWord me an #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
113	ConsumerQueryState	$ActionWord me an #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
114	ConsumerQueryState	$ActionWord me places $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
115	ConsumerQueryState	$ActionWord me places $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
116	ConsumerQueryState	$ActionWord me restaurants $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
117	ConsumerQueryState	$ActionWord me restaurants $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
118	ConsumerQueryState	$ActionWord me the #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
119	ConsumerQueryState	$ActionWord me the #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
120	ConsumerQueryState	$ActionWord me the place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
121	ConsumerQueryState	$ActionWord me the restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
122	ConsumerQueryState	$ActionWord places $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
123	ConsumerQueryState	$ActionWord places $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
124	ConsumerQueryState	$ActionWord restaurants $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
125	ConsumerQueryState	$ActionWord restaurants $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
126	ConsumerQueryState	$ActionWord some #RestaurantEntity			ConsumerQuery.ClassMember	User
127	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
128	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
129	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord options for #RestaurantEntity			ConsumerQuery.ClassMember	User
130	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord options other than #Cuisine			ConsumerQuery.ClassMember	User
131	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord options other than #RestaurantEntity			ConsumerQuery.ClassMember	User
132	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord special menu for #RestaurantEntity guests			ConsumerQuery.ClassMember	User
133	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
134	ConsumerQueryState	$ActionWord the #RestaurantEntity $ActionWord special menu for guests who are #RestaurantEntity			ConsumerQuery.ClassMember	User
135	ConsumerQueryState	$ActionWord the #RestaurantEntity that $ActionWord special menu for guests $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
136	ConsumerQueryState	$ActionWord the place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
137	ConsumerQueryState	$ActionWord the restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
138	ConsumerQueryState	$RestaurantName			ConsumerQuery.ClassMember	User
139	ConsumerQueryState	A #RestaurantEntity			ConsumerQuery.ClassMember	User
140	ConsumerQueryState	Any #Cuisine			ConsumerQuery.ClassMember	User
141	ConsumerQueryState	Any #Cuisine #RestaurantEntity			ConsumerQuery.ClassMember	User
142	ConsumerQueryState	Any #Cuisine place			ConsumerQuery.ClassMember	User
143	ConsumerQueryState	Any #Cuisine restaurant			ConsumerQuery.ClassMember	User
144	ConsumerQueryState	Any #RestaurantEntity			ConsumerQuery.ClassMember	User
145	ConsumerQueryState	Any #RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
146	ConsumerQueryState	Any #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
147	ConsumerQueryState	Any #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
148	ConsumerQueryState	Any #RestaurantEntity for my #RestaurantEntity			ConsumerQuery.ClassMember	User
149	ConsumerQueryState	Any #RestaurantEntity place			ConsumerQuery.ClassMember	User
150	ConsumerQueryState	Any #RestaurantEntity restaurant			ConsumerQuery.ClassMember	User
151	ConsumerQueryState	Any #RestaurantEntity that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
152	ConsumerQueryState	Any #RestaurantEntity that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
153	ConsumerQueryState	Any #RestaurantEntity you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
154	ConsumerQueryState	Any #RestaurantEntity you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
155	ConsumerQueryState	Any #RestaurantEntity you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
156	ConsumerQueryState	Any #RestaurantEntity you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
157	ConsumerQueryState	Any place $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
158	ConsumerQueryState	Any place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
159	ConsumerQueryState	Any place for my #RestaurantEntity			ConsumerQuery.ClassMember	User
160	ConsumerQueryState	Any place that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
161	ConsumerQueryState	Any place that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
162	ConsumerQueryState	Any place you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
163	ConsumerQueryState	Any place you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
164	ConsumerQueryState	Any place you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
165	ConsumerQueryState	Any place you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
166	ConsumerQueryState	Any restaurant $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
167	ConsumerQueryState	Any restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
168	ConsumerQueryState	Any restaurant for my #RestaurantEntity			ConsumerQuery.ClassMember	User
169	ConsumerQueryState	Any restaurant that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
170	ConsumerQueryState	Any restaurant that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
171	ConsumerQueryState	Any restaurant you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
172	ConsumerQueryState	Any restaurant you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
173	ConsumerQueryState	Any restaurant you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
174	ConsumerQueryState	Any restaurant you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
175	ConsumerQueryState	Are #RestaurantEntity $ActionWord in $RestaurantName			ConsumerQuery.ClassMember	User
176	ConsumerQueryState	Are #RestaurantEntity available in $RestaurantName			ConsumerQuery.ClassMember	User
177	ConsumerQueryState	Are #RestaurantEntity welcome in $RestaurantName			ConsumerQuery.ClassMember	User
178	ConsumerQueryState	Are there #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
179	ConsumerQueryState	Are there #RestaurantEntity $ActionWord #Cuisine during #RestaurantEntity			ConsumerQuery.ClassMember	User
180	ConsumerQueryState	Are there #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
181	ConsumerQueryState	Are there #RestaurantEntity $ActionWord #RestaurantEntity during #RestaurantEntity			ConsumerQuery.ClassMember	User
182	ConsumerQueryState	Are there #RestaurantEntity $ActionWord during #RestaurantEntity			ConsumerQuery.ClassMember	User
183	ConsumerQueryState	Are there #RestaurantEntity options available in $RestaurantName			ConsumerQuery.ClassMember	User
184	ConsumerQueryState	Are there $Religious options available in $RestaurantName			ConsumerQuery.ClassMember	User
185	ConsumerQueryState	Are there any #Cuisine #RestaurantEntity			ConsumerQuery.ClassMember	User
186	ConsumerQueryState	Are there any #Cuisine place			ConsumerQuery.ClassMember	User
187	ConsumerQueryState	Are there any #Cuisine restaurant			ConsumerQuery.ClassMember	User
188	ConsumerQueryState	Are there any #RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
189	ConsumerQueryState	Are there any #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
190	ConsumerQueryState	Are there any #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
191	ConsumerQueryState	Are there any #RestaurantEntity place			ConsumerQuery.ClassMember	User
192	ConsumerQueryState	Are there any #RestaurantEntity restaurant			ConsumerQuery.ClassMember	User
193	ConsumerQueryState	Are there any #RestaurantEntity that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
194	ConsumerQueryState	Are there any #RestaurantEntity that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
195	ConsumerQueryState	Are there any #RestaurantEntity you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
196	ConsumerQueryState	Are there any #RestaurantEntity you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
197	ConsumerQueryState	Are there any #RestaurantEntity you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
198	ConsumerQueryState	Are there any #RestaurantEntity you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
199	ConsumerQueryState	Are there any place $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
200	ConsumerQueryState	Are there any place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
201	ConsumerQueryState	Are there any place that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
202	ConsumerQueryState	Are there any place that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
203	ConsumerQueryState	Are there any place you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
204	ConsumerQueryState	Are there any place you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
205	ConsumerQueryState	Are there any place you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
206	ConsumerQueryState	Are there any place you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
207	ConsumerQueryState	Are there any places that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
208	ConsumerQueryState	Are there any restaurant $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
209	ConsumerQueryState	Are there any restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
210	ConsumerQueryState	Are there any restaurant that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
211	ConsumerQueryState	Are there any restaurant that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
212	ConsumerQueryState	Are there any restaurant you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
213	ConsumerQueryState	Are there any restaurant you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
214	ConsumerQueryState	Are there any restaurant you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
215	ConsumerQueryState	Are there any restaurant you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
216	ConsumerQueryState	Are there any restaurants that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
217	ConsumerQueryState	Are there places $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
218	ConsumerQueryState	Are there places $ActionWord #Cuisine during #RestaurantEntity			ConsumerQuery.ClassMember	User
219	ConsumerQueryState	Are there places $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
220	ConsumerQueryState	Are there places $ActionWord #RestaurantEntity during #RestaurantEntity			ConsumerQuery.ClassMember	User
221	ConsumerQueryState	Are there places $ActionWord during #RestaurantEntity			ConsumerQuery.ClassMember	User
222	ConsumerQueryState	Are there restaurants $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
223	ConsumerQueryState	Are there restaurants $ActionWord #Cuisine during #RestaurantEntity			ConsumerQuery.ClassMember	User
224	ConsumerQueryState	Are there restaurants $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
225	ConsumerQueryState	Are there restaurants $ActionWord #RestaurantEntity during #RestaurantEntity			ConsumerQuery.ClassMember	User
226	ConsumerQueryState	Are there restaurants $ActionWord during #RestaurantEntity			ConsumerQuery.ClassMember	User
227	ConsumerQueryState	Are there services for #RestaurantEntity in $RestaurantName			ConsumerQuery.ClassMember	User
228	ConsumerQueryState	Best #RestaurantEntity #Location			ConsumerQuery.ClassMember||ConsumerQuery.Location	User
229	ConsumerQueryState	Best #RestaurantEntity			ConsumerQuery.ClassMember	User
230	ConsumerQueryState	Good #RestaurantEntity #Location			ConsumerQuery.ClassMember||ConsumerQuery.Location	User
231	ConsumerQueryState	Good #RestaurantEntity			ConsumerQuery.ClassMember	User
232	ConsumerQueryState	Can you $ActionWord #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
233	ConsumerQueryState	Can you $ActionWord #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
234	ConsumerQueryState	Can you $ActionWord a #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
235	ConsumerQueryState	Can you $ActionWord a #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
236	ConsumerQueryState	Can you $ActionWord a place $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
237	ConsumerQueryState	Can you $ActionWord a place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
238	ConsumerQueryState	Can you $ActionWord a restaurant $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
239	ConsumerQueryState	Can you $ActionWord a restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
240	ConsumerQueryState	Can you $ActionWord an #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
241	ConsumerQueryState	Can you $ActionWord an #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
242	ConsumerQueryState	Can you $ActionWord me #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
243	ConsumerQueryState	Can you $ActionWord me #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
244	ConsumerQueryState	Can you $ActionWord me a #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
245	ConsumerQueryState	Can you $ActionWord me a #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
246	ConsumerQueryState	Can you $ActionWord me a place $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
247	ConsumerQueryState	Can you $ActionWord me a place $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
248	ConsumerQueryState	Can you $ActionWord me a restaurant $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
249	ConsumerQueryState	Can you $ActionWord me a restaurant $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
250	ConsumerQueryState	Can you $ActionWord me an #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
251	ConsumerQueryState	Can you $ActionWord me an #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
252	ConsumerQueryState	Can you $ActionWord me places $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
253	ConsumerQueryState	Can you $ActionWord me places $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
254	ConsumerQueryState	Can you $ActionWord me restaurants $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
255	ConsumerQueryState	Can you $ActionWord me restaurants $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
256	ConsumerQueryState	Can you $ActionWord me the #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
257	ConsumerQueryState	Can you $ActionWord me the #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
